1,1.9
2,65.9
3,34.6
4,36.3
5,1.3
6,98.4
7,44.2
8,38.4
9,34.6
10,89.2
11,94.2
12,69.1
13,46.8
14,90.7
15,89.9
16,14.3
17,22.1
18,3.8
19,83.7
20,89.5
21,11.5
22,86.6
23,27.1
24,30.9
25,66.5
26,23.6
27,26.0
28,35.4
29,97.4
30,39.5
31,60.6
32,32.5
33,79.4
34,19.6
35,67.0
36,36.3
37,52.0
38,97.4
39,42.8
40,89.3
41,40.1
42,41.6
43,4.2
44,64.2
45,27.3
46,8.3
47,15.0
48,70.2
49,67.0
50,33.5
51,10.9
52,50.2
53,3.7
54,59.3
55,51.0
56,29.5
57,13.3
58,45.7
59,84.7
60,4.8
61,17.1
62,54.8
63,88.5
64,35.0
65,16.8
66,54.8
67,7.6
68,15.0
69,69.8
70,39.3
71,80.8
72,86.1
73,57.1
74,98.4
75,19.2
76,95.2
77,1.8
78,18.9
79,42.8
80,35.5
81,61.4
82,33.8
83,43.7
84,63.3
85,4.5
86,84.7
87,10.2
88,92.2
89,29.1
90,4.6
91,29.8
92,44.1
93,87.7
94,50.4
95,98.9
96,50.3
97,87.4
98,7.6
99,8.3
100,32.1
101,62.9
102,60.5
103,58.2
104,11.4
105,87.6
106,73.4
107,21.4
108,76.9
109,75.7
110,20.9
111,19.9
112,90.5
113,0.6
114,20.9
115,57.4
116,25.1
117,74.4
118,40.7
119,48.0
120,51.1
121,15.7
122,17.5
123,46.9
124,71.8
125,91.1
126,32.2
127,29.7
128,30.2
129,6.2
130,40.9
131,56.5
132,42.8
133,1.2
134,42.7
135,95.6
136,0.6
137,71.0
138,9.7
139,86.0
140,0.7
141,81.0
142,44.3
143,73.9
144,13.9
145,1.9
146,61.6
147,64.1
148,82.0
149,13.3
150,34.4
151,45.4
152,72.1
153,53.5
154,46.6
155,82.2
156,73.9
157,83.6
158,18.3
159,74.4
160,4.7
161,20.0
162,6.6
163,68.8
164,72.7
165,59.7
166,44.6
167,71.3
168,19.4
